websites,country,category,cmp,smp,,,,,,,,,,,
digital-manufacturing-magazin.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,goettinger-tageblatt.de,News
digital-process-industry.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,goquiz.dk,Entertainment
digitalbusiness-cloud.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,goslarsche.de,News
digitalfernsehen.de,germany,News,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,gpsradler.de,Computers & Technology
dima-magazin.com,germany,Business,consentmanager.net,contentpass,,,,,,,,,,gutefrage.de,Computers & Technology
dispo.cc,france,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,gutefrage.net,Forums & Newsgroups
dnn.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,gutekueche.at,Search Engines & Portals
dogondo.de,germany,Unknown,consentmanager.net,contentpass,,,,,,,,,,gutekueche.de,Restaurants & Dining
doktordarm.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,hallo-eltern.de,Health & Medicine
donau-ries-aktuell.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,hanser-automotive.de,Business
donaukurier.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,harvardbusinessmanager.de,Business
donnerwetter.de,germany,News,consentmanager.net,n/a,,,,,,,,,,harzkurier.de,News
duden.de,germany,Education,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,haus-garten-test.de,Computers & Technology
dumontreise.de,germany,Travel,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,hausgarten.net,Leisure & Recreation
e-automobile.info,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,haz.de,News
e-commerce-magazin.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,hbold.dk,Sports
easyvoyage.com,france,n/a,Didomi,n/a,,,,,,,,,,healthcare-computing.de,Health & Medicine
eat.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,heilpraxisnet.de,Health & Medicine
eatsmarter.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,heise.de,News
ebike-news.de,germany,News,Papoo Software & Media GmbH,contentpass,,,,,,,,,,helmstedter-nachrichten.de,News
echo-online.de,germany,News,consentmanager.net,n/a,,,,,,,,,,hildesheimer-allgemeine.de,News
echo24.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,hlk.co.at,Business
echtemamas.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,hockeymagasinet.dk,Sports
ecomento.de,germany,Transportation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,hoerzu.de,Entertainment
egovernment.de,germany,Non-profits & NGOs,consentmanager.net,contentpass,,,,,,,,,,hortica.de,Unknown
einbuergerung.at,austria,Education,Traffective GmbH,freechoice,,,,,,,,,,huffingtonpost.fr,News
einbuergerungstest-online.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,huffingtonpost.it,News
einbuergerungstest-online.eu,antigua and barbuda,n/a,Traffective GmbH,freechoice,,,,,,,,,,huffpost.fr,News
einfachschoen.me,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,iban-rechner.de,Finance
eklablog.com,france,n/a,Didomi,n/a,,,,,,,,,,ibancalculator.com,Finance
elbierzonoticias.com,spain,Business,Didomi,contentpass,,,,,,,,,,ilclubdellericette.it,Leisure & Recreation
elblogsalmon.com,iceland,Politics & Law,Didomi,contentpass,,,,,,,,,,ilmilanista.it,Sports
elektroauto-news.net,germany,Transportation,Papoo Software & Media GmbH,contentpass,,,,,,,,,,ilposticipo.it,Sports
elektroniknet.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,ilsecoloxix.it,News
elektronikpraxis.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,ilsole24ore.com,News
elektropraxis.at,austria,n/a,consentmanager.net,contentpass,,,,,,,,,,impulse.de,Business
elektrotechnik.vogel.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,industrial-production.de,News
elle.de,germany,News,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,industriemagazin.at,News
ellviva.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,industry-of-things.de,Business
elpais.com,spain,News,Didomi,n/a,,,,,,,,,,infranken.de,News
eltern.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,inrlp.de,Personal Sites
elterngeld.de,germany,Search Engines & Portals,Traffective GmbH,freechoice,,,,,,,,,,inside-digital.de,Computers & Technology
eltiempo.es,eu #country is really world wide,News,Didomi,contentpass,,,,,,,,,,iodonna.it,News
embedded-software-engineering.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,ip-insider.de,Computers & Technology
emprendedores.es,eu #country is really world wide,News,consentmanager.net,contentpass,,,,,,,,,,it-business.de,Computers & Technology
emtb-news.de,germany,News,OneTrust LLC,contentpass,,,,,,,,,,it-daily.net,Computers & Technology
en.kunststoffe.de,germany,Business,OneTrust LLC,contentpass,,,,,,,,,,itasportpress.it,Sports
entsorgen.org,switzerland,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,jeuxvideo.com,Forums & Newsgroups
entspannte-wechseljahre.de,germany,Computers & Technology,Traffective GmbH,freechoice,,,,,,,,,,juvenews.eu,Sports
erkaeltung-abwehren.de,germany,Computers & Technology,Traffective GmbH,freechoice,,,,,,,,,,karrierefragen.de,Education
erkaeltung-online.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,kicker.de,News
erklaer-es-oma.de,germany,Education,consentmanager.net,contentpass,,,,,,,,,,kino.de,Entertainment
erneuerbareenergien.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,klack.de,Entertainment
esports.com,germany,Sports,Seven.One Entertainment Group GmbH,contentpass,,,,,,,,,,kn-online.de,News
esquire.de,germany,Business,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,korrekturen.de,Education
essen-und-trinken.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,krone.at,News
etfrechner24.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,ksta.de,News
etmm-online.com,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,kunststoff-magazin.de,Business
eurogamer.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,kunststoffe.de,Business
europamester.dk,denmark,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,kurier.at,News
eventfinder.de,germany,Computers & Technology,Traffective GmbH,freechoice,,,,,,,,,,lab-worldwide.com,Business
express.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,labo.de,Business
extratipp.com,germany,News,Traffective GmbH,freechoice,,,,,,,,,,laborpraxis.vogel.de,Business
extreme.pcgameshardware.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,lachainemeteo.com,News
factorynet.at,austria,n/a,consentmanager.net,contentpass,,,,,,,,,,landeszeitung.de,News
fahrschule-online.de,germany,Transportation,Usercentrics.com,contentpass,,,,,,,,,,lanline.de,Computers & Technology
falk.de,germany,Education,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,lastampa.it,News
familie.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,le10sport.com,Sports
faszination-fankurve.de,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,leblogtvnews.com,Personal Sites
faz.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,lecker.de,Restaurants & Dining
fcbinside.de,germany,Sports,Traffective GmbH,freechoice,,,,,,,,,,leiweb.it,Entertainment
fcinter1908.it,italy,Sports,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,lemonde.fr,News
fehmarn24.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,lepoint.fr,News
feiertage-deutschland.de,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,lezappingdupaf.com,Entertainment
feiertage-ferien.ch,switzerland,n/a,Papoo Software & Media GmbH,n/a,,,,,,,,,,liberation.com,News
feiertage-oesterreich.at,austria,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,liberation.fr,News
femmeactuelle.fr,france,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,liebenswert-magazin.de,Health & Medicine
fernsehserien.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,likehifi.de,Computers & Technology
filext.com,united states,Computers & Technology,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,linux-community.de,Forums & Newsgroups
finance-magazin.de,germany,n/a,n/a,n/a,,,,,,,,,,linux-magazin.de,Computers & Technology
finanzfrage.net,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,linux-user.de,News
